"BTC
Bitcoin","ETH
Ethereum","BNB
BNB","XRP
XRP","USDT
Tether","ADA
Cardano","DOT
Polkadot","LTC
Litecoin","UNI
Uniswap","LINK
ChainLink","XLM
Stellar","BCH
Bitcoin Cash","THETA
Theta Token","FIL
Filecoin","USDC
USD Coin","DOGE
Dogecoin","TRX
TRON","VET
VeChain","WBTC
Wrapped Bitcoin",Time
59635.55,2150.75,492.43,1.35,1.0,1.24,40.52,250.97,30.02,34.2,59.291,681.94,12.29,175.68,1.0,71.222,12.339,136.282,59631.99,0
59691.35,2152.44,493.29,1.34,1.0,1.24,40.66,250.07,30.04,34.32,59.159,681.43,12.32,175.55,1.0,71.149,12.351,136.038,59686.98,10
59623.57,2150.65,492.38,1.34,1.0,1.24,40.62,249.61,30.01,34.07,59.152,680.78,12.28,175.54,1.0,,12.265,135.886,59654.66,15
59651.09,2149.99,492.78,1.35,1.0,1.24,41.22,249.41,29.96,33.97,58.988,678.33,12.32,175.67,1.0,71.314,12.433,135.663,59643.2,25
59557.4,2139.56,493.86,1.33,1.0,1.24,40.95,247.09,29.87,33.54,58.911,672.87,12.29,176.37,1.0,72.899,12.205,135.974,59532.05,35
59487.98,2132.86,491.68,1.33,1.0,1.24,40.68,245.09,29.78,33.39,59.333,671.13,12.39,175.73,1.0,,,135.879,59467.19,40
59603.5,2140.4,491.7,1.33,1.0,1.24,41.02,247.74,29.82,33.58,59.327,674.41,12.43,176.1,1.0,75.913,,137.302,59578.71,50
59852.51,2146.09,499.05,1.35,1.0,1.25,41.11,249.65,30.04,33.76,59.955,678.39,12.37,176.64,1.0,,,138.879,59829.28,60
59811.94,2146.11,499.4,1.35,1.0,1.25,41.16,248.85,30.09,33.81,59.415,678.23,12.39,177.73,1.0,73.302,121.81,,59790.23,65
59841.93,2148.8,502.28,1.35,1.0,1.26,41.13,248.89,30.16,34.05,606.47,675.58,12.33,177.68,1.0,73.612,122.02,,59832.52,70
59760.67,2144.69,506.03,1.36,1.0,1.27,41.01,248.6,30.12,34.11,60.361,674.12,12.41,178.04,1.0,73.955,140.131,59745.49,121.37,80
